c Вес дерева 27065.0, самое длинное ребро = 499
p edge 512
e 241 313
e 241 445
e 242 496
e 243 274
e 244 499
e 244 406
e 245 419
e 245 456
e 246 344
e 246 365
e 247 288
e 247 250
e 248 343
e 249 377
e 249 402
e 250 449
e 250 326

e 252 472
e 252 412
e 253 505
e 253 311
e 254 483
e 254 432
e 255 470
e 255 269
e 255 327
e 256 318
e 256 408
e 257 423
e 258 441
e 258 501
e 259 464
e 259 386
e 260 471
e 260 372
e 260 309
e 261 509
e 262 293
e 263 351
e 264 478
e 264 416
e 265 511
e 266 465
e 267 412
e 267 432
e 268 423
e 269 327
e 270 419
e 270 367
e 270 511
e 271 411
e 272 317
e 272 312
e 272 460


e 275 340
e 275 352

e 277 323
e 277 350

e 279 384
e 279 367
e 279 370

e 281 404
e 281 438
e 282 474
e 283 479
e 283 325
e 284 463
e 284 411
e 285 365
e 285 319
e 285 321
e 286 403
e 287 295
e 288 449

e 290 444
e 290 394


e 293 330
e 294 425
e 294 322

e 296 453
e 296 381
e 296 493
e 297 404
e 298 436
e 298 331

e 300 307
e 300 409
e 301 393
e 301 337
e 301 499

e 303 400
e 303 418
e 303 425
e 304 356
e 304 458
e 305 508
e 305 366

e 307 399
e 308 453
e 308 459
e 308 435




e 313 445
e 314 413
e 314 399

e 316 335
e 317 361
e 317 460
e 318 364
e 318 414

e 320 398
e 320 372
e 321 344
e 322 456
e 322 443
e 323 324
e 324 488
e 325 469
e 325 498
e 326 482
e 326 336
e 327 336
e 328 496
e 328 342
e 328 408

e 330 441
e 330 346
e 331 487
e 331 481
e 332 335




e 337 355
e 337 494



e 341 463
e 342 414
e 343 505
e 343 386

e 345 365
e 345 477
e 345 446
e 346 407
e 346 442


e 349 460


e 352 369

e 354 386
e 354 467

e 356 472

e 358 387
e 358 488

e 360 366
e 361 477






e 368 371



e 372 374
e 373 429
e 374 389
e 374 380
e 375 428
e 375 466


e 378 465
e 378 435
e 379 387
e 379 381
e 379 488

e 381 453
e 382 467
e 383 390
e 383 485
e 383 442

e 385 479


e 388 486
e 389 463
e 389 437
e 390 485
e 391 420



e 395 433
e 396 485
e 396 427


e 399 413
e 400 470
e 400 456
e 401 409
e 401 439
e 401 492

e 403 500
e 403 478

e 405 429
e 405 413

e 407 442


e 410 458
e 410 443






e 417 479
e 417 424
e 417 427
e 418 481

e 420 438



e 424 469



e 428 466




e 433 498




e 438 440

e 440 455



e 444 455













e 458 477


e 461 492
e 461 510







e 469 473



e 473 496
e 473 507












e 486 492


e 489 512




e 494 499


e 497 500


e 500 512












